Penyakit,Diet
GERD,"['Diet Rendah Asam', 'Makanan kaya serat', 'Jahe', 'Licorice', 'Jus lidah buaya']"
Penyakit tukak lambung,"['Diet Rendah Asam', 'Makanan kaya serat', 'Jahe', 'Licorice', 'Jus lidah buaya']"
AIDS,"['Diet Seimbang', 'Makanan kaya protein', 'Buah dan sayuran', 'Biji-bijian utuh', 'Lemak sehat']"
Diabetes,"['Diet Rendah Glikemik', 'Makanan kaya serat', 'Protein tanpa lemak', 'Lemak sehat', 'Susu rendah lemak']"
Hipertensi,"['Diet DASH', 'Makanan rendah sodium', 'Buah dan sayuran', 'Biji-bijian utuh', 'Protein tanpa lemak']"
Migrain,"['Diet Migrain', 'Diet Rendah Tiramin', 'Penghentian Kafein', 'Hidrasi', 'Makanan kaya magnesium']"
Penyakit kuning,"['Diet Sehat Hati', 'Diet Rendah Lemak', 'Buah dan Sayuran', 'Biji-bijian', 'Protein Tanpa Lemak']"
Malaria,"['Diet Malaria', 'Hidrasi', 'Diet Tinggi Kalori', 'Makanan lunak dan hambar', 'Solusi rehidrasi oral']"
Cacar air,"['Diet Cacar Air', 'Diet Tinggi Kalori', 'Makanan lunak dan hambar', 'Hidrasi', 'Makanan kaya protein']"
demam berdarah,"['Diet Demam Berdarah Dengue', 'Hidrasi', 'Diet Tinggi Kalori', 'Makanan lunak dan hambar', 'Makanan kaya protein']"
Penyakit tipus,"['Diet Tifus', 'Diet Tinggi Kalori', 'Makanan lunak dan hambar', 'Hidrasi', 'Makanan kaya protein']"
TBC,"['Diet TBC', 'Diet Tinggi Kalori', 'Makanan lunak dan hambar', 'Hidrasi', 'Makanan kaya protein']"
Flu biasa,"['Diet Dingin', 'Hidrasi', 'Cairan hangat', 'Istirahat', 'Teh madu dan lemon']"
Radang paru-paru,"['Diet Pneumonia', 'Diet Tinggi Kalori', 'Makanan lunak dan hambar', 'Hidrasi', 'Makanan kaya protein']"
Wasir dimorfik (tumpukan),"['Diet Wasir', 'Diet Tinggi Serat', 'Hidrasi', 'Mandi Air Hangat', 'Pelunak Kotoran']"
