Unnamed: 0,Penyakit,Tindakan Pencegahan_1,Perhatian_2,Perhatian_3,Perhatian_4
1,Malaria,Konsultasikan ke rumah sakit terdekat,hindari makanan berminyak,hindari makanan non-sayuran,mengusir nyamuk
5,GERD,hindari makanan pedas berlemak,hindari berbaring setelah makan,menjaga berat badan yang sehat,latihan
12,Diabetes,memiliki pola makan seimbang,latihan,berkonsultasi dengan dokter,menindaklanjuti
14,Hipertensi,meditasi,mandi garam,mengurangi stres,mendapatkan tidur yang cukup
15,Penyakit tukak lambung,hindari makanan pedas berlemak,mengonsumsi makanan probiotik,menghilangkan susu,batasi alkohol
16,Wasir dimorfik (tumpukan),hindari makanan pedas berlemak,konsumsi witch hazel,mandi air hangat dengan garam epsom,konsumsi jus alovera
17,Flu biasa,minum minuman kaya vitamin c,mengambil uap,hindari makanan dingin,mengendalikan demam
18,Cacar air,gunakan Mimba saat mandi,mengkonsumsi daun Mimba,mengambil vaksin,hindari tempat umum
23,AIDS,hindari pemotongan terbuka,pakailah PPE jika memungkinkan,berkonsultasi dengan dokter,menindaklanjuti
25,Penyakit tipus,makan sayuran berkalori tinggi,terapi antibiotik,berkonsultasi dengan dokter,pengobatan
29,Migrain,meditasi,mengurangi stres,gunakan kacamata poloroid di bawah sinar matahari,berkonsultasi dengan dokter
32,Penyakit kuning,minum banyak air,mengkonsumsi milk thistle,makan buah-buahan dan makanan berserat tinggi,pengobatan
34,demam berdarah,minum jus daun pepaya,hindari makanan pedas berlemak,mengusir nyamuk,tetap terhidrasi
37,Radang paru-paru,berkonsultasi dengan dokter,pengobatan,istirahat,menindaklanjuti
40,TBC,menutupi mulut,berkonsultasi dengan dokter,pengobatan,istirahat
